Student_ID,Hours_Studied,Attendance,Previous_Score,Assignments_Completed,Sleep_Hours,Final_Marks,Result
STU001,0.8,96.3,85.5,8,4.1,59.0,Pass
STU002,7.8,68.2,45.7,3,4.1,56.3,Pass
STU003,4.4,40.3,63.4,6,4.1,52.2,Pass
STU004,7.2,100.0,66.1,6,5.3,64.1,Pass
STU005,9.8,42.9,88.6,9,7.0,77.4,Pass
STU006,5.4,63.4,41.5,3,5.9,53.4,Pass
STU007,5.0,72.3,31.0,9,8.8,58.9,Pass
STU008,0.7,93.5,65.5,8,4.8,58.1,Pass
STU009,2.7,89.4,54.9,6,5.1,58.8,Pass
STU010,5.0,76.6,50.5,7,8.1,53.3,Pass
STU011,6.8,63.9,84.1,6,5.0,74.1,Pass
STU012,8.0,90.1,77.8,5,8.6,88.2,Pass
STU013,3.8,92.1,35.9,7,6.2,55.2,Pass
STU014,0.7,92.3,68.4,0,7.6,46.9,Pass
STU015,2.9,83.1,85.8,10,4.2,65.9,Pass
STU016,9.1,45.9,93.7,4,4.8,79.2,Pass
STU017,2.1,57.9,30.0,10,7.9,50.3,Pass
STU018,4.5,69.2,86.5,0,5.5,59.1,Pass
STU019,9.3,70.3,33.0,2,7.3,60.0,Pass
STU020,0.2,90.0,65.5,5,4.0,37.7,Fail
STU021,6.0,54.3,71.9,7,5.3,68.5,Pass
STU022,9.5,79.9,96.6,6,4.1,82.1,Pass
STU023,2.3,62.5,74.2,8,8.9,40.5,Fail
STU024,5.5,86.5,34.9,4,7.0,54.8,Pass
STU025,9.1,51.7,76.9,4,6.9,67.4,Pass
STU026,1.3,68.6,47.8,0,6.9,34.1,Fail
STU027,5.2,46.2,88.2,2,7.4,59.6,Pass
STU028,7.5,52.7,32.2,1,8.6,49.9,Pass
STU029,6.7,96.1,52.7,10,6.7,79.6,Pass
STU030,4.7,59.0,77.4,8,5.1,59.1,Pass
STU031,2.0,93.6,40.9,5,4.2,55.0,Pass
STU032,4.9,71.5,75.2,9,5.6,59.7,Pass
STU033,3.7,42.3,78.8,0,6.4,39.9,Fail
STU034,4.8,87.6,81.4,4,4.8,61.8,Pass
STU035,3.7,43.1,91.3,4,8.5,57.5,Pass
STU036,8.4,89.6,58.9,0,5.7,60.3,Pass
STU037,7.7,40.5,40.0,0,6.5,37.1,Fail
STU038,3.1,80.4,48.2,10,5.4,51.2,Pass
STU039,5.7,49.9,57.3,1,6.3,49.9,Pass
STU040,2.8,60.6,33.8,2,7.7,46.6,Pass
STU041,4.5,97.2,79.6,4,8.5,71.7,Pass
STU042,3.5,69.2,34.4,7,8.3,49.3,Pass
STU043,6.6,79.4,34.0,7,7.9,71.2,Pass
STU044,3.7,84.4,95.3,10,5.2,64.9,Pass
STU045,4.6,46.6,86.4,8,5.8,62.0,Pass
STU046,7.2,90.3,47.8,7,8.0,64.6,Pass
STU047,4.1,94.8,53.9,1,7.8,43.8,Fail
STU048,9.1,49.3,87.8,8,5.5,70.3,Pass
STU049,1.8,72.8,73.3,5,5.6,50.8,Pass
STU050,7.4,57.0,48.5,6,6.4,65.4,Pass
STU051,4.2,69.15,61.4,8,6.5,55.8,Pass
STU052,4.3,41.7,89.9,10,7.3,63.0,Pass
STU053,6.3,70.8,30.0,3,8.8,45.4,Pass
STU054,5.2,87.6,99.5,9,8.7,82.0,Pass
STU055,4.1,84.1,69.6,7,4.8,67.4,Pass
STU056,0.0,46.5,42.7,2,5.9,30.3,Fail
STU057,0.9,90.0,86.0,6,8.7,65.3,Pass
